Cs,FA,MA,I,Br,structure,bandgap,glass,ETL,ETL-2,Ethickness,HTL,Hthickness,meta,depositionProcedure,depositionMethod,Anti-solvent,PrecursorSolution,AnnealingTemperature,AnnealingTime,Jsc,Voc,FF,PCE
0.06,0.45,0.49,1.86,0.96,1,1.8,13.748588709770196,15.569879212259472,14.720934210311336,21.2,14.50981884057955,94.0034,13.56754203087829,13.387363546219715,13.306277299925918,14.234280155654995,14.00101851851855,100.0,30.0,9.5,0.96,0.4,5.4
0.15,0.6375,0.2125,2.28,0.72,0,1.71,15.131265603223945,15.405229294435959,14.641134841501426,22.2,15.76762475068065,94.0034,15.422352987268296,15.043190661450348,14.540728643216081,14.99397098367796,14.671736191979742,100.0,30.0,18.7,1.09,0.724,14.9
0.05,0.85,0.15,2.55,0.45,1,1.695760000000001,13.748588709770196,14.93913865318154,14.720934210311336,28.0,14.50981884057955,172.0,15.271361592621036,15.043190661450348,14.540728643216081,14.86456493872716,14.00101851851855,150.0,20.0,22.27,1.098,0.7296,17.95
0.0,0.15,0.85,3.0,0.0,1,1.709749333333334,13.748588709770196,13.488257532983164,13.383332009508031,32.6,14.50981884057955,150.22,14.127791666767372,13.387363546219715,14.540728643216081,11.813466461809325,14.36215413943355,100.0,60.0,19.9,0.994,0.7332,14.5
0.2,0.32,0.48,2.8,0.2,1,1.65,13.748588709770196,15.159048660965988,14.408028746648979,21.2,14.159344546932804,94.0034,13.56754203087829,15.043190661450348,14.540728643216081,14.99397098367796,14.00101851851855,100.0,30.0,12.61,0.889,0.6807,7.64
0.0,0.85,0.15,2.55,0.45,1,1.53797,13.748588709770196,15.159048660965988,14.720934210311336,36.008,14.50981884057955,190.22,14.127791666767372,15.043190661450348,14.540728643216081,14.234280155654995,14.00101851851855,100.0,60.0,22.04,1.0285,0.72,16.3
0.0,0.85,0.15,2.1,0.9,1,1.68,15.131265603223945,15.159048660965988,14.720934210311336,22.2,14.50981884057955,139.2,14.127791666767372,13.387363546219715,14.540728643216081,14.234280155654995,14.00101851851855,100.0,10.0,17.71,1.1,0.65,10.04
0.0,0.0,1.0,1.0,2.0,1,2.03,13.748588709770196,13.488257532983164,13.383332009508031,21.2,14.50981884057955,94.0034,14.127791666767372,15.043190661450348,14.540728643216081,14.234280155654995,14.00101851851855,100.0,30.0,4.0,1.1,1.43,6.3
0.05,0.7885,0.1615,1.5,1.5,1,1.691170000000001,15.131265603223945,15.569879212259472,14.720934210311336,22.2,14.50981884057955,139.2,14.127791666767372,15.043190661450348,13.612357075332145,14.234280155654995,14.00101851851855,100.0,10.0,15.05,1.12,0.6427,10.81
0.0,0.3,0.7,3.0,0.0,1,1.6843123333333334,13.748588709770196,13.488257532983164,13.383332009508031,32.6,14.50981884057955,150.22,14.127791666767372,13.387363546219715,14.540728643216081,11.813466461809325,14.36215413943355,100.0,60.0,19.84,0.899,0.7139,12.73
