Cs,FA,MA,I,Br,structure,bandgap,glass,ETL,ETL-2,Ethickness,HTL,Hthickness,meta,depositionProcedure,depositionMethod,Anti-solvent,PrecursorSolution,AnnealingTemperature,AnnealingTime,Jsc,Voc,FF,PCE
0.0,0.3,0.7,3.0,0.0,1,1.6843123333333334,FTO,c-TiO2,mp-TiO2,32.6,spiro,150.22,Au,one-step,spin,toluene,DMSO,100.0,60.0,19.84,0.899,0.7139,12.73
0.2,0.75,0.05,2.49,0.51,1,1.544115,FTO,c-TiO2,mp-TiO2,31.0,spiro,50.0314,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,20.4,1.054,0.74,15.9
0.0,0.95,0.05,2.85,0.15,1,1.687240000000001,ITO,SnO2,unknown,28.0,spiro,172.0,Au,two-step,R2R,tBuOH/EA,DMF/DMSO,120.0,30.0,22.0,1.02,0.744,16.7
0.05,0.7885,0.1615,2.49,0.51,1,1.685390000000001,ITO,SnO2,unknown,52.0,spiro,104.0,Au,two-step,spin,CB,DMF/DMSO,110.0,50.0,22.25,1.116,0.768,19.07
0.0,0.4,0.6,3.0,0.0,0,1.55,ITO,C60,PCBM,24.2,NiOx,61.2,Ag,two-step,spin,toluene,DMF/DMSO,100.0,10.0,21.98,1.0,0.72,15.83
0.05,0.7885,0.1615,2.49,0.51,1,1.541155000000001,FTO,c-TiO2,mp-TiO2,24.2,spiro,55.0034,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,22.4,1.1,0.78,19.2
0.0,0.85,0.15,2.7,0.3,1,1.57,FTO,SnO2,C,40.6,spiro,74.0,Ag,three-step,spin,unknown,DMF/DMSO,100.0,60.0,1.06,21.9,0.72,16.6
0.0,0.3,0.7,0.3,2.7,0,1.63,ITO,C60,PCBM,23.2,NiOx,104.2,Ag,two-step,spin,toluene,DMF/DMSO,100.0,10.0,20.21,1.1,0.78,17.34
0.0,0.83,0.17,1.8,1.2,1,1.74,FTO,SnO2,PCBM,52.0,spiro,104.0,Ag,one-step,spin,unknown,DMF,185.0,90.0,19.4,1.2,0.751,17.1
0.0,0.0,1.0,3.0,0.0,0,1.58,FTO,PCBM,BCP,40.6,ployTPD:F4-TCNQ,74.0,Ag,three-step,CAGQ,unknown,DMF/DMSO,100.0,60.0,0.81,13.5,0.6,6.6
0.05,0.79,0.15,2.45,0.55,1,1.6,ITO,SnO2,unknown,20.0,spiro,200.0,Au,unknown,unknown,unknown,unknown,102.0,52.0,22.297,1.0755,0.7475,17.92
0.0,0.3,0.7,0.0,3.0,0,1.57,ITO,C60,PCBM,24.2,NiOx,65.2,Ag,two-step,spin,toluene,DMF/DMSO,100.0,10.0,21.47,1.02,0.75,16.42
0.15,0.8,0.05,3.0,0.0,1,1.60582,ITO,ZnO2,unknown,26.0,spiro,120.0,Ag,two-step,spin,CB,DMSO,110.0,5.0,22.72,1.12,0.7204,18.33
0.05,0.95,0.0,3.05,0.0,1,1.478,FTO,TiO2,unknown,72.6,spiro,150.428,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,25.45,1.09,0.727,20.1
0.07,0.9,0.03,2.76,0.24,1,1.695760000000001,FTO,c-TiO2,mp-TiO2,28.0,spiro,172.0,Au,two-step,spin,CB,DMF/DMSO,150.0,30.0,24.5,1.08,0.76,20.52
0.0,0.5,0.5,2.0,1.0,1,1.75,FTO,c-TiO2,mp-TiO2,22.2,spiro,94.0034,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,20.0,1.1,0.69,15.3
0.0,0.4,0.6,3.0,0.0,0,1.53,ITO,PCBM,unknown,30.6,PEDOT:PSS,150.22,Ca/Ag,two-step,spin,toluene,DMF,100.0,120.0,18.95,0.943,0.731,13
0.05,0.76,0.19,2.43,0.57,1,1.695760000000001,FTO,c-TiO2,mp-TiO2,46.2,TPB,91.0,Au,two-step,spin,CB,DMF/DMSO,102.0,38.6,18.5,0.991,0.7,12.59
0.05,0.7885,0.1615,2.49,0.51,1,1.526575000000001,FTO,4%Nb–PlanarTiO2,unknown,34.6,unknown,160.22,Au,one-step,spin,CB,DMF/DMSO,100.0,60.0,16.84,0.79,0.51,6.78
0.0,0.17,0.83,0.5,2.5,1,2.15,FTO,c-TiO2,mp-TiO2,21.2,spiro,133.0034,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,2.8,0.95,0.86,2.3
0.0,0.67,0.33,2.0,1.0,1,1.68,FTO,c-TiO2,mp-TiO2,23.2,spiro,55.2034,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,21.4,1.15,0.75,18.5
0.05,0.7885,0.1615,2.49,0.51,1,1.603289999999999,FTO,TiO2,unknown,60.0,spiro,80.0,Au,two-step,spin,CB,DMF/DMSO,110.0,60.0,16.94,1.06,0.5784,10.42
0.0,1.0,0.0,0.5,2.5,1,2.1,FTO,c-TiO2,mp-TiO2,21.2,spiro,94.0034,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,9.7,1.06,0.49,5
0.0,0.0,1.0,2.4,0.6,1,1.72,ITO,C60,unknown,46.4,TaTm,74.0,Au,Vacuum Deposited,unknown,unknown,unknown,100.0,34.0,17.3,1.104,0.819,15.6
0.0,0.5,0.5,1.5,1.5,1,1.84,ITO,TiO2,unknown,22.2,spiro,139.2,Au,one-step,spin,CB,DMF/DMSO,100.0,10.0,16.19,1.11,0.59,11.1
0.17,0.83,0.0,1.8,1.2,0,1.68654,ITO,C,BCP,21.2,PTAA,94.0034,Ag,unknown,spin,ANI,DMF/DMSO,100.0,30.0,16.1,1.08,0.75,12.7
0.05,0.7885,0.1615,2.49,0.51,1,1.52783142857143,FTO,c-TiO2,mp-TiO2,42.208,spiro,140.2234,Au,one-step,spin,CB,DMF/DMSO,100.0,45.0,22.73,1.107,0.72,18.12
0.1,0.765,0.135,2.55,0.45,0,1.67593,ITO,SnO2,unknown,30.0,spiro,176.0,Ag,R2R,unknown,CB,DMF/DMSO,100.0,54.0,19.81,0.95,0.7,13.41
0.05,0.7885,0.1615,2.49,0.51,1,1.695760000000001,FTO,2%Nb–mpTiO2,unknown,34.6,unknown,160.22,Au,one-step,spin,CB,DMF/DMSO,100.0,60.0,14.7,0.83,0.41,5
0.15,0.6375,0.2125,2.1,0.9,0,1.74,ITO,C,BCP,21.2,PTAA,94.0034,Cu,two-step,spin,unknown,DMF/NMP,100.0,30.0,18.0,1.11,0.719,14.4
0.0,0.0,1.0,1.5,1.5,1,1.87,FTO,c-TiO2,mp-TiO2,21.2,spiro,94.0034,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,6.6,1.12,1.17,8.6
0.05,0.83,0.12,2.61,0.39,1,1.61,FTO,c-TiO2,mp-TiO2/a-SnO2,32.008,spiro,190.22,Au,two-step,spin,CB,DMF/DMSO,100.0,50.0,22.51,1.168,0.776, 20.2
0.05,0.9,0.05,3.0,0.0,1,1.547190000000001,FTO,c-TiO2,mp-TiO2,72.6,spiro,150.428,Au,one-step,spin,CB,DMF/DMSO,100.0,60.0,25.32,1.122,0.8365,23.76
0.15,0.6375,0.2125,2.4,0.6,0,1.68,ITO,C,BCP,22.2,PTAA,94.0034,Cu,two-step,spin,unknown,DMF/NMP,100.0,30.0,19.9,1.1,0.737,16.1
0.05,0.9,0.05,3.0,0.0,1,1.68344,FTO,c-TiO2,meso-TiO2,20.016,spiro,0.07,Au,two-step,spin,hlorobenzene,DMF/DMSO/DmmimCl,100.0,60.0,25.26,1.15,0.84,24.46
0.17,0.83,0.0,1.8,1.2,1,1.79,FTO,SnO2,unknown,34.6,spiro,160.22,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,16.4,1.284,0.687,16.51
0.6,0.0,0.4,1.8,1.2,0,1.81,ITO,PCBM,BCP,30.0,PTAA,165.0,Ag,one-step,spin,CB,DMF/DMSO,130.0,10.0,1.17,13.9,0.683,11.1
0.05,0.7885,0.1615,2.49,0.51,1,1.69531,FTO,TiO2,unknown,60.0,spiro:F4-TCNQ,80.0,Ag,one-step,spin,CB,DMF/DMSO,110.0,60.0,19.5,1.05,0.634,13.3
0.05,0.79,0.16,2.45,0.55,1,1.685576666666667,FTO,c-TiO2,mp-TiO2,46.2,spiro,108.0,Au,unknown,unknown,unknown,unknown,110.0,21.6,18.85,1.09,0.6975,14.32
0.05,0.7885,0.1615,2.49,0.51,1,1.554773333333334,FTO,c-TiO2,mp-TiO2,30.0,spiro,50.0314,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,22.7,1.109,0.74,18.6
