Cs,FA,MA,Pb,I,Br,structure,bandgap,substrate,ETL,ETL-2,ETLthickness,HTL,HTLthickness,electrode,depositionProcedure,depositionMethod,Anti-solvent,PrecursorSolvent,AnnealingTemperature,AnnealingTime,Jsc,Voc,FF,PCE
0.175,0.75,0.075,1.0,2.64,0.36,1,1.57,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,20.0,21.88,1.124,0.75,18.45
0.05,0.81,0.14,1.0,2.55,0.45,1,1.57,,,,,,,,,,,,,,22.16,1.23,0.78,21.1
0.05,0.8,0.15,1.0,2.85,0.15,1,1.5685,ITO,TiO2,,,CuSCN,,Cu,,,,,,,18.875,1.02,0.769,14.812
0.05,0.86,0.09,1.0,2.91,0.09,1,1.56,FTO,SnO2,,,spiro,,Ag,two-step,spin,CB,DMF,100.0,60.0,21.0,0.987,0.453,9.4
0.05,0.86,0.09,1.0,2.91,0.09,1,1.56,FTO,SnO2,,,spiro,,Ag,two-step,spin,CB,DMF/DMSO,100.0,60.0,23.49,1.041,0.748,18.3
0.05,0.8,0.15,1.0,2.85,0.15,1,1.55,,,,,,,,,,,,,,24.1,1.18,0.83,23.7
0.05,0.8075,0.1425,1.0,2.6,0.45,1,1.546,FTO,TiO2,,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,23.61,1.135,0.777,20.7
0.05,0.855,0.095,1.0,2.75,0.3,1,1.537,FTO,TiO2,,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,24.13,1.131,0.768,21.0
0.03,0.9409,0.0291,1.0,2.91,0.09,1,1.53,,,,,,,,,,,,,,24.6,1.21,0.8,23.8
0.05,0.9025,0.0475,1.0,2.9,0.15,1,,FTO,TiO2,,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,24.69,1.126,0.768,21.4
0.05,0.95,0.0,1.0,3.05,0.0,1,,FTO,TiO2,,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,25.45,1.09,0.727,20.1
0.05,0.9,0.05,1.0,3.0,0.0,1,,FTO,c-TiO2,mp-TiO2,,spiro,0.07,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,25.32,1.12,0.837,23.76
0.05,0.9,0.05,1.0,3.0,0.0,1,,FTO,c-TiO2,mp-TiO2,,spiro,0.07,Au,two-step,spin,CB,DMF/DMSO/DmmimCl,100.0,60.0,25.26,1.15,0.84,24.46
0.05,0.85,0.1,1.0,2.55,0.45,1,,FTO,SnO2,,0.04,spiro,,Cu,one-step,spin,CB,DMF/DMSO,100.0,60.0,22.01,1.045,0.743,17.1
0.05,0.7885,0.1615,1.0,2.49,0.51,1,,ITO,SnO2,,30.0,spiro,165.0,Ag,one-step,spin,CB,DMF/DMSO,120.0,0.0,20.17,1.12,0.6634,15.03
0.05,0.7885,0.1615,1.0,2.49,0.51,1,,ITO,SnO2,,30.0,spiro,165.0,Ag,one-step,spin,CB,DMF/DMSO,120.0,2.0,21.2,1.12,0.6478,15.37
0.05,0.7885,0.1615,1.0,2.49,0.51,1,,ITO,SnO2,,30.0,spiro,165.0,Ag,one-step,spin,CB,DMF/DMSO,120.0,5.0,20.01,1.14,0.7694,17.48
0.05,0.7885,0.1615,1.0,2.49,0.51,1,,ITO,SnO2,,30.0,spiro,165.0,Ag,one-step,spin,CB,DMF/DMSO,120.0,10.0,21.32,1.14,0.7622,18.57
0.05,0.7885,0.1615,1.0,2.49,0.51,1,,ITO,SnO2,,30.0,spiro,165.0,Ag,one-step,spin,CB,DMF/DMSO,120.0,15.0,20.91,1.14,0.7513,17.97
0.05,0.7885,0.1615,1.0,2.49,0.51,1,,ITO,SnO2,,30.0,spiro,165.0,Ag,one-step,spin,CB,DMF/DMSO,120.0,20.0,19.78,1.14,0.7534,17.04
0.05,0.7885,0.1615,1.0,2.49,0.51,1,,ITO,SnO2,,30.0,spiro,165.0,Ag,one-step,spin,CB,DMF/DMSO,120.0,10.0,19.96,1.13,0.6966,15.73
0.05,0.81,0.14,1.0,2.86,0.14,0,,FTO,C,BCP,,NiOx,,Ag,two-step,spin,toluene,DMF/DMSO,120.0,10.0,23.1,0.93,0.769,16.2
