Cs,FA,MA,Pb,I,Br,structure,bandgap,substrate,ETL,ETL-2,ETLthickness,HTL,HTLthickness,electrode,depositionProcedure,depositionMethod,Anti-solvent,PrecursorSolvent,AnnealingTemperature,AnnealingTime,Jsc,Voc,FF,PCE
0.05,0.7885,0.1615,1.0,2.7,0.3,0,,ITO,PCBM,ZnO,25.0,NiOx,25.0,Al,two-step,spin,CB,DMF/DMSO,100.0,10.0,22.2,1.023,0.82,17.7
0.05,0.7885,0.1615,1.0,2.7,0.3,0,,ITO,PCBM,ZnO,25.0,NiOx,10.0,Al,two-step,spin,CB,DMF/DMSO,100.0,10.0,21.9,0.878,0.68,13.0
0.05,0.7885,0.1615,1.0,2.7,0.3,0,,ITO,PCBM,ZnO,25.0,NiOx,45.0,Al,two-step,spin,CB,DMF/DMSO,100.0,10.0,22.2,1.024,0.75,17.0
0.0,0.4,0.6,1.0,3.0,0.0,1,,FTO,TiO2,,,spiro,,Au,one-step,spin,,,,,18.96,0.992,0.692,13.4
0.05,0.79,0.15,1.0,2.45,0.55,1,,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,22.43,1.08,0.8048,19.5
0.05,0.75,0.2,1.0,2.88,0.12,1,,ITO,SnO2,,,spiro,,Au,two-step,spin,,DMF/DMSO,150.0,15.0,25.19,1.13,0.804,22.97
0.07,0.9,0.03,1.0,2.76,0.24,1,,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,150.0,30.0,24.5,1.08,0.76,20.52
0.05,0.8075,0.1425,1.0,2.55,0.45,1,,FTO,SnO2,,,D4TBP/spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,23.2,1.16,0.76,20.4
0.05,0.8075,0.1425,1.0,2.55,0.45,1,,FTO,SnO2,,,D4TBP/spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,22.4,1.13,0.74,19.0
0.05,0.8,0.15,1.0,2.5,0.5,1,,ITO,SnO2,,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,23.6,1.11,0.76,19.9
0.05,0.7885,0.1615,1.0,2.49,0.51,0,,FTO,PCBM,,,PEDOT:PSS,,Ag,two-step,spin,CB,DMF/DMSO,100.0,60.0,22.28,0.94,0.72,15.06
0.05,0.54,0.41,1.0,2.94,0.06,1,,ITO,SnO2,,,spiro,,Au,two-step,spin,,DMF/DMSO,150.0,15.0,24.03,1.095,0.7477,19.68
0.0,0.976,0.024,1.0,2.928,0.072,1,,ITO,SnO2,,,spiro,,Ag,two-step,spin,,DMF/DMSO,150.0,20.0,24.03,1.09,0.6801,18.59
0.03,0.945,0.025,1.0,2.925,0.075,1,,ITO,SnO2,,,spiro,,Ag,two-step,spin,,DMF/DMSO,150.0,20.0,24.22,1.12,0.702,19.5
0.05,0.95,0.0,1.0,3.0,0.0,1,,ITO,ZnO2,,,spiro,,Ag,two-step,spin,CB,DMSO,130.0,5.0,19.66,1.12,0.6434,14.17
0.1,0.9,0.0,1.0,3.0,0.0,1,,ITO,ZnO2,,,spiro,,Ag,two-step,spin,CB,DMSO,130.0,5.0,20.36,1.11,0.706,15.96
0.15,0.85,0.0,1.0,3.0,0.0,1,,ITO,ZnO2,,,spiro,,Ag,two-step,spin,CB,DMSO,130.0,5.0,21.4,1.12,0.6969,16.7
0.2,0.8,0.0,1.0,3.0,0.0,1,,ITO,ZnO2,,,spiro,,Ag,two-step,spin,CB,DMSO,130.0,5.0,19.56,1.1,0.6895,14.48
0.25,0.75,0.0,1.0,3.0,0.0,1,,ITO,ZnO2,,,spiro,,Ag,two-step,spin,CB,DMSO,130.0,5.0,19.5,1.1,0.6344,13.61
0.15,0.8,0.05,1.0,3.0,0.0,1,,ITO,ZnO2,,,spiro,,Ag,two-step,spin,CB,DMSO,110.0,5.0,22.72,1.12,0.7204,18.33
0.15,0.75,0.1,1.0,3.0,0.0,1,,ITO,ZnO2,,,spiro,,Ag,two-step,spin,CB,DMSO,110.0,5.0,23.15,1.13,0.7681,20.09
0.15,0.7,0.15,1.0,3.0,0.0,1,,ITO,ZnO2,,,spiro,,Ag,two-step,spin,CB,DMSO,110.0,5.0,23.08,1.13,0.7494,19.54
0.15,0.6,0.25,1.0,3.0,0.0,1,,ITO,ZnO2,,,spiro,,Ag,two-step,spin,CB,DMSO,110.0,5.0,22.81,1.12,0.714,18.24
0.0,1.0,0.0,1.0,3.0,0.0,1,,ITO,ZnO2,,,spiro,,Ag,two-step,spin,CB,DMSO,150.0,5.0,18.82,1.11,0.6284,13.11
0.05,0.7885,0.1615,1.0,2.49,0.51,0,,FTO,C,,,NiOx,,Ag,two-step,spin,CB,DMF/DMSO,100.0,60.0,20.29,,,13.7
0.05,0.7885,0.1615,1.0,2.49,0.51,1,,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,22.4,1.1,0.78,19.2
0.0,0.83,0.17,1.0,2.49,0.51,1,,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,19.2,1.1,0.77,16.3
0.1,0.747,0.153,1.0,2.49,0.51,1,,FTO,c-TiO2,,,spiro,,Cu,two-step,spin,CB,DMF/DMSO,100.0,60.0,18.0,1.09,0.72,14.1
0.1,0.747,0.153,1.0,2.49,0.51,1,,FTO,c-TiO2,mp-TiO2,,spiro,,Cu,two-step,spin,CB,DMF/DMSO,100.0,60.0,23.5,1.11,0.77,20.0
0.1,0.747,0.153,1.0,2.49,0.51,1,,FTO,ALD-TiO2,,,spiro,,Cu,two-step,spin,CB,DMF/DMSO,100.0,60.0,15.1,1.03,0.63,9.8
0.1,0.747,0.153,1.0,2.49,0.51,1,,FTO,ALD-TiO2,mp-TiO2,,spiro,,Cu,two-step,spin,CB,DMF/DMSO,100.0,60.0,21.8,1.1,0.73,17.5
0.05,0.8,0.15,1.0,2.55,0.45,1,,FTO,c-TiO2,,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,22.39,1.104,0.75,18.24
0.0,0.95,0.05,1.0,2.94,0.06,1,,FTO,c-TiO2,mp-TiO2,,spiro,,Au,one-step,spin,CB,DMF/DMSO,150.0,30.0,20.18,0.972,0.665,13.04
0.06,0.8,0.14,1.0,2.58,0.42,1,,FTO,TiO2,,,spiro,,Ag,two-step,spin,CB,DMF/DMSO,100.0,30.0,23.06,1.09,0.779,19.61
0.05,0.7885,0.1615,1.0,2.49,0.51,1,,ITO,SnO2,,,spiro,,Au,two-step,spin,CB,DMF/DMSO,110.0,50.0,22.25,1.116,0.768,19.07
0.0,0.85,0.15,1.0,2.55,0.45,1,,ITO,SnO2,,,spiro,,Au,two-step,spin,EA,DMF/DMSO,130.0,30.0,20.92,1.12,0.6557,15.46
0.0,0.85,0.15,1.0,2.55,0.45,1,,ITO,SnO2,,,spiro,,Au,two-step,spin,CB,DMF/DMSO,130.0,30.0,22.13,1.15,0.7141,18.17
0.17,0.83,0.0,1.0,1.8,1.2,0,,ITO,C,BCP,,PTAA,,Ag,,spin,ANI,DMF/DMSO,100.0,30.0,16.1,1.08,0.75,12.7
0.05,0.8,0.15,1.0,2.85,0.15,1,,FTO,SnO2,,,spiro,,Ag,,,,,,,24.02,1.09,0.76,19.93
1.0,0.0,0.0,1.0,1.0,2.0,1,,FTO,c-TiO2,,,spiro,,Ag,two-step,spin,,DMSO,225.0,10.0,11.5,1.26,0.73,10.6
0.0,0.0,1.0,1.0,3.0,0.0,0,1.6,ITO,PCBM,,,PEDOT:PSS,,Ag,two-step,spin,CB,DMF/DMSO,100.0,10.0,19.6,0.92,0.73,14.07
0.0,0.4,0.6,1.0,3.0,0.0,1,1.53,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,toluene,DMF,75.0,10.0,21.2,1.003,0.7,14.9
0.0,0.87,0.13,1.0,3.0,0.0,1,1.52,FTO,c-TiO2,,,spiro,,Au,two-step,spin,toluene,DMF,,,15.7,1.0,0.56,8.73
0.0,0.0,1.0,1.0,3.0,0.0,1,,FTO,c-TiO2,mp-TiO2,,spiro,,Au,one-step,spin,toluene,DMSO,100.0,60.0,19.79,0.987,0.7418,14.49
0.0,0.15,0.85,1.0,3.0,0.0,1,,FTO,c-TiO2,mp-TiO2,,spiro,,Au,one-step,spin,toluene,DMSO,100.0,60.0,19.9,0.994,0.7332,14.5
0.0,0.3,0.7,1.0,3.0,0.0,1,,FTO,c-TiO2,mp-TiO2,,spiro,,Au,one-step,spin,toluene,DMSO,100.0,60.0,19.84,0.899,0.7139,12.73
0.0,0.4,0.6,1.0,3.0,0.0,1,1.53,FTO,c-TiO2,mp-TiO2,,spiro,,Au,one-step,spin,toluene,DMSO,100.0,60.0,20.87,0.975,0.6997,14.23
0.0,0.5,0.5,1.0,3.0,0.0,1,,FTO,c-TiO2,mp-TiO2,,spiro,,Au,one-step,spin,toluene,DMSO,120.0,60.0,19.92,0.929,0.5499,10.18
0.0,0.85,0.15,1.0,3.0,0.0,1,,FTO,c-TiO2,mp-TiO2,,spiro,,Au,one-step,spin,toluene,DMSO,150.0,60.0,15.66,0.805,0.598,7.53
0.0,1.0,0.0,1.0,3.0,0.0,1,,FTO,c-TiO2,mp-TiO2,,spiro,,Au,one-step,spin,toluene,DMSO,150.0,60.0,17.55,0.802,0.655,9.22
0.0,0.75,0.25,1.0,3.0,0.0,1,1.545,FTO,c-TiO2,mp-TiO2,,spiro,,Au,one-step,spin,toluene,DMF,140.0,10.0,21.1,1.03,0.7138,15.51
0.0,0.0,1.0,1.0,3.0,0.0,0,1.52,ITO,PCBM,,,PEDOT:PSS,,Al,one-step,spin,toluene,GBL/DMF,110.0,10.0,8.89,0.89,0.7,5.51
0.05,0.0,0.95,1.0,3.0,0.0,0,1.51,ITO,PCBM,,,PEDOT:PSS,,Al,one-step,spin,toluene,GBL/DMF,110.0,10.0,8.69,1.01,0.72,6.29
0.1,0.0,0.9,1.0,3.0,0.0,0,1.54,ITO,PCBM,,,PEDOT:PSS,,Al,one-step,spin,toluene,GBL/DMF,110.0,10.0,10.1,1.05,0.73,7.68
0.2,0.0,0.8,1.0,3.0,0.0,0,1.57,ITO,PCBM,,,PEDOT:PSS,,Al,one-step,spin,toluene,GBL/DMF,110.0,10.0,6.76,1.04,0.65,4.58
0.3,0.0,0.7,1.0,3.0,0.0,0,1.58,ITO,PCBM,,,PEDOT:PSS,,Al,one-step,spin,toluene,GBL/DMF,110.0,10.0,5.85,1.04,0.62,3.78
0.4,0.0,0.6,1.0,3.0,0.0,0,1.62,ITO,PCBM,,,PEDOT:PSS,,Al,one-step,spin,toluene,GBL/DMF,110.0,10.0,4.26,1.03,0.57,2.5
0.6,0.0,0.4,1.0,3.0,0.0,0,1.68,ITO,PCBM,,,PEDOT:PSS,,Al,one-step,spin,toluene,GBL/DMF,110.0,10.0,1.5,1.01,0.52,0.79
0.8,0.0,0.2,1.0,3.0,0.0,0,1.72,ITO,PCBM,,,PEDOT:PSS,,Al,one-step,spin,toluene,GBL/DMF,110.0,10.0,0.58,0.84,0.46,0.22
1.0,0.0,0.0,1.0,3.0,0.0,0,2.05,ITO,PCBM,,,PEDOT:PSS,,Al,one-step,spin,toluene,GBL/DMF,110.0,10.0,0.26,0.79,0.45,0.09
0.1,0.9,0.0,1.0,3.0,0.0,1,1.55,FTO,c-TiO2,,,spiro,,Ag,one-step,spin,diethyl ether,DMF,150.0,5.0,23.5,1.06,0.663,16.5
0.0,1.0,0.0,1.0,3.0,0.0,1,,FTO,c-TiO2,,,spiro,,Ag,three-step,spin,toluene,DMF/DMSO,170.0,10.0,19.69,1.06,0.68,14.2
0.15,0.85,0.0,1.0,3.0,0.0,1,1.52,FTO,c-TiO2,,,spiro,,Ag,three-step,spin,toluene,DMF/DMSO,170.0,10.0,20.39,1.06,0.74,16.1
0.3,0.7,0.0,1.0,3.0,0.0,1,,FTO,c-TiO2,,,spiro,,Ag,three-step,spin,toluene,DMF/DMSO,170.0,10.0,19.46,1.04,0.73,14.8
0.45,0.55,0.0,1.0,3.0,0.0,1,,FTO,c-TiO2,,,spiro,,Ag,three-step,spin,toluene,DMF/DMSO,170.0,10.0,18.09,0.94,0.56,9.6
0.7,0.3,0.0,1.0,3.0,0.0,1,,FTO,c-TiO2,,,spiro,,Ag,three-step,spin,toluene,DMF/DMSO,170.0,10.0,18.08,1.0,0.56,10.2
0.2,0.8,0.0,1.0,3.0,0.0,1,1.56,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,10.0,21.5,1.017,0.701,15.69
0.2,0.8,0.0,1.0,2.84,0.16,1,1.58,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,10.0,21.9,1.073,0.742,17.35
0.0,0.83,0.17,1.0,1.8,1.2,1,1.74,FTO,SnO2,PCBM,,spiro,,Ag,one-step,spin,,DMF,185.0,90.0,19.4,1.2,0.751,17.1
0.0,1.0,0.0,1.0,3.0,0.0,1,1.52,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,150.0,30.0,13.5,0.99,0.36,4.8
0.0,1.0,0.0,1.0,2.5,0.5,1,1.97,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,14.3,1.2,0.56,9.6
0.0,1.0,0.0,1.0,2.0,1.0,1,2.27,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,3.9,0.99,0.5,1.9
0.0,1.0,0.0,1.0,1.5,1.5,1,1.91,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,7.1,1.06,0.5,3.7
0.0,1.0,0.0,1.0,1.0,2.0,1,1.97,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,12.8,1.14,0.52,7.5
0.0,1.0,0.0,1.0,0.5,2.5,1,2.1,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,9.7,1.06,0.49,5.0
0.0,1.0,0.0,1.0,0.0,3.0,1,2.27,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,7.5,1.14,0.58,5.0
0.0,0.83,0.17,1.0,3.0,0.0,1,1.53,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,21.5,0.92,0.61,12.1
0.0,0.83,0.17,1.0,2.5,0.5,1,1.63,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,22.7,1.1,0.7,17.4
0.0,0.83,0.17,1.0,2.0,1.0,1,1.68,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,19.1,1.18,0.65,14.7
0.0,0.83,0.17,1.0,1.5,1.5,1,1.87,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,15.6,1.15,0.63,11.4
0.0,0.83,0.17,1.0,1.0,2.0,1,1.98,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,11.1,0.98,0.54,5.8
0.0,0.83,0.17,1.0,0.5,2.5,1,2.11,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,8.8,0.88,0.43,3.3
0.0,0.83,0.17,1.0,0.0,3.0,1,2.28,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,7.0,1.42,0.65,6.5
0.0,0.67,0.33,1.0,3.0,0.0,1,1.53,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,22.7,0.97,0.63,13.9
0.0,0.67,0.33,1.0,2.5,0.5,1,1.64,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,23.7,1.14,0.76,20.7
0.0,0.67,0.33,1.0,2.0,1.0,1,1.68,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,21.4,1.15,0.75,18.5
0.0,0.67,0.33,1.0,1.5,1.5,1,1.85,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,15.3,1.11,0.69,11.7
0.0,0.67,0.33,1.0,1.0,2.0,1,1.97,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,9.5,1.0,0.59,5.6
0.0,0.67,0.33,1.0,0.5,2.5,1,2.11,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,7.2,0.92,0.51,3.4
0.0,0.67,0.33,1.0,0.0,3.0,1,2.28,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,7.0,1.35,0.58,5.5
0.0,0.5,0.5,1.0,3.0,0.0,1,1.55,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,19.6,0.96,0.68,12.8
0.0,0.5,0.5,1.0,2.5,0.5,1,1.61,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,20.4,1.04,0.61,12.9
0.0,0.5,0.5,1.0,2.0,1.0,1,1.75,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,20.0,1.1,0.69,15.3
0.0,0.5,0.5,1.0,1.5,1.5,1,1.85,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,15.5,1.09,0.7,11.9
0.0,0.5,0.5,1.0,1.0,2.0,1,1.96,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,12.6,1.03,0.6,7.9
0.0,0.5,0.5,1.0,0.5,2.5,1,2.14,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,6.9,0.98,0.58,3.9
0.0,0.5,0.5,1.0,0.0,3.0,1,2.28,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,7.0,1.39,0.73,7.1
0.0,0.33,0.67,1.0,3.0,0.0,1,1.56,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,22.3,1.0,0.65,14.3
0.0,0.33,0.67,1.0,2.5,0.5,1,1.67,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,18.7,0.91,0.64,11.0
0.0,0.33,0.67,1.0,2.0,1.0,1,1.76,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,20.4,1.17,0.73,17.5
0.0,0.33,0.67,1.0,1.5,1.5,1,1.85,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,13.9,1.13,0.68,10.7
0.0,0.33,0.67,1.0,1.0,2.0,1,1.97,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,9.0,1.08,0.64,6.2
0.0,0.33,0.67,1.0,0.5,2.5,1,2.14,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,4.4,0.99,0.66,2.9
0.0,0.33,0.67,1.0,0.0,3.0,1,2.29,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,6.4,1.35,0.72,6.4
0.0,0.17,0.83,1.0,3.0,0.0,1,1.59,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,18.8,1.05,0.6,11.8
0.0,0.17,0.83,1.0,2.5,0.5,1,1.63,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,22.7,1.04,0.68,16.0
0.0,0.17,0.83,1.0,2.0,1.0,1,1.76,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,16.7,1.12,0.65,12.2
0.0,0.17,0.83,1.0,1.5,1.5,1,1.86,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,10.3,1.07,0.79,8.7
0.0,0.17,0.83,1.0,1.0,2.0,1,1.99,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,5.1,0.94,0.74,3.5
0.0,0.17,0.83,1.0,0.5,2.5,1,2.15,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,2.8,0.95,0.86,2.3
0.0,0.17,0.83,1.0,0.0,3.0,1,2.3,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,6.3,1.37,0.81,7.1
0.0,0.0,1.0,1.0,3.0,0.0,1,1.59,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,21.2,0.91,0.54,10.3
0.0,0.0,1.0,1.0,2.5,0.5,1,1.66,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,18.3,1.1,0.66,13.2
0.0,0.0,1.0,1.0,2.0,1.0,1,1.7,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,13.2,0.96,0.67,8.5
0.0,0.0,1.0,1.0,0.0,3.0,1,2.31,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,5.9,1.41,0.67,5.6
0.2,0.8,0.0,1.0,3.0,0.0,1,1.574,FTO,SnO2,C,,spiro,,Au,one-step,spin,diethyl ether,DMF/DMSO,150.0,10.0,21.73,1.03,0.7237,16.18
0.0,1.0,0.0,1.0,3.0,0.0,1,1.48,FTO,c-TiO2,,,spiro,,Ag,one-step,spin,,DMF/DMSO,185.0,30.0,15.28,0.72,0.36,3.94
0.1,0.9,0.0,1.0,3.0,0.0,1,1.53,FTO,c-TiO2,,,spiro,,Ag,one-step,spin,,DMF/DMSO,185.0,30.0,22.25,0.69,0.45,6.82
0.15,0.85,0.0,1.0,3.0,0.0,1,1.54,FTO,c-TiO2,,,spiro,,Ag,one-step,spin,,DMF/DMSO,185.0,30.0,22.61,0.86,0.64,12.35
0.2,0.8,0.0,1.0,3.0,0.0,1,1.55,FTO,c-TiO2,,,spiro,,Ag,one-step,spin,,DMF/DMSO,185.0,30.0,20.75,0.7,0.53,7.67
0.25,0.75,0.0,1.0,3.0,0.0,1,1.54,FTO,c-TiO2,,,spiro,,Ag,one-step,spin,,DMF/DMSO,185.0,30.0,22.61,0.83,0.51,9.48
0.0,0.85,0.15,1.0,2.85,0.15,1,1.55,ITO,TiO2,,,spiro,,Au,one-step,spin,CB,DMF/DMSO,100.0,10.0,20.96,1.01,0.61,14.29
0.0,0.85,0.15,1.0,2.7,0.3,1,1.58,ITO,TiO2,,,spiro,,Au,one-step,spin,CB,DMF/DMSO,100.0,10.0,21.3,1.06,0.7,15.3
0.0,0.85,0.15,1.0,2.55,0.45,1,1.6,ITO,TiO2,,,spiro,,Au,one-step,spin,CB,DMF/DMSO,100.0,10.0,20.77,1.04,0.68,14.08
0.0,0.85,0.15,1.0,2.4,0.6,1,1.62,ITO,TiO2,,,spiro,,Au,one-step,spin,CB,DMF/DMSO,100.0,10.0,20.18,1.05,0.54,9.79
0.0,0.85,0.15,1.0,2.25,0.75,1,1.65,ITO,TiO2,,,spiro,,Au,one-step,spin,CB,DMF/DMSO,100.0,10.0,17.91,1.07,0.64,11.17
0.0,0.85,0.15,1.0,2.1,0.9,1,1.68,ITO,TiO2,,,spiro,,Au,one-step,spin,CB,DMF/DMSO,100.0,10.0,17.71,1.1,0.65,10.04
0.0,0.85,0.15,1.0,1.95,1.05,1,1.72,ITO,TiO2,,,spiro,,Au,one-step,spin,CB,DMF/DMSO,100.0,10.0,17.86,1.1,0.65,12.11
0.0,0.85,0.15,1.0,1.8,1.2,1,1.76,ITO,TiO2,,,spiro,,Au,one-step,spin,CB,DMF/DMSO,100.0,10.0,15.8,1.11,0.56,8.32
0.0,0.85,0.15,1.0,1.65,1.35,1,1.8,ITO,TiO2,,,spiro,,Au,one-step,spin,CB,DMF/DMSO,100.0,10.0,17.27,1.12,0.59,11.59
0.0,0.9,0.1,1.0,2.7,0.3,1,1.59,ITO,TiO2,,,spiro,,Au,one-step,spin,CB,DMF/DMSO,100.0,10.0,21.5,1.03,0.59,15.3
0.0,0.85,0.15,1.0,2.55,0.45,1,1.6,ITO,TiO2,,,spiro,,Au,one-step,spin,CB,DMF/DMSO,100.0,10.0,20.77,1.04,0.68,14.47
0.0,0.8,0.2,1.0,2.4,0.6,1,1.64,ITO,TiO2,,,spiro,,Au,one-step,spin,CB,DMF/DMSO,100.0,10.0,20.48,1.03,0.64,13.48
0.0,0.75,0.25,1.0,2.25,0.75,1,1.67,ITO,TiO2,,,spiro,,Au,one-step,spin,CB,DMF/DMSO,100.0,10.0,20.88,1.05,0.57,15.83
0.0,0.7,0.3,1.0,2.1,0.9,1,1.69,ITO,TiO2,,,spiro,,Au,one-step,spin,CB,DMF/DMSO,100.0,10.0,17.97,1.07,0.62,12.58
0.0,0.65,0.35,1.0,1.95,1.05,1,1.73,ITO,TiO2,,,spiro,,Au,one-step,spin,CB,DMF/DMSO,100.0,10.0,18.5,1.09,0.68,13.95
0.0,0.6,0.4,1.0,1.8,1.2,1,1.77,ITO,TiO2,,,spiro,,Au,one-step,spin,CB,DMF/DMSO,100.0,10.0,17.21,1.1,0.59,12.19
0.0,0.55,0.45,1.0,1.65,1.35,1,1.81,ITO,TiO2,,,spiro,,Au,one-step,spin,CB,DMF/DMSO,100.0,10.0,17.38,1.1,0.6,12.33
0.0,0.5,0.5,1.0,1.5,1.5,1,1.84,ITO,TiO2,,,spiro,,Au,one-step,spin,CB,DMF/DMSO,100.0,10.0,16.19,1.11,0.59,11.1
0.0,1.0,0.0,1.0,3.0,0.0,1,,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,10.0,21.4,0.809,0.592,10.4
0.2,0.8,0.0,1.0,3.0,0.0,1,1.56,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,10.0,21.5,1.017,0.701,15.69
0.2,0.8,0.0,1.0,2.84,0.16,1,1.58,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,10.0,21.9,1.073,0.742,17.35
0.05,0.83,0.12,1.0,2.61,0.39,1,1.61,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,50.0,22.21,1.097,0.785,19.11
0.06,0.79,0.15,1.0,2.55,0.45,1,1.59,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,22.6,1.05,0.73,17.3
