Cs,FA,MA,I,Br,structure,bandgap,substrate,ETL,ETL-2,ETLthickness,HTL,HTLthickness,electrode,depositionProcedure,depositionMethod,Anti-solvent,PrecursorSolvent,AnnealingTemperature,AnnealingTime,Jsc,Voc,FF,PCE
0.05,0.8,0.15,2.25,0.75,1,1.65,,,,,,,,,,,,,,21.2,1.22,0.76,20.8
0.05,0.8075,0.1425,2.572,0.4275,1,1.65,,,,,,,,,,,,,,1.21,1.59,22.59,0.81
0.1,0.36,0.54,2.8,0.2,1,1.647,13.748588709770196,15.159048660965988,14.408028746648979,,14.1593445469328,,13.56754203087829,15.043190661450348,14.540728643216081,,14.00101851851855,100.0,30.0,17.63,0.903,0.6637,10.57
0.25,0.5625,0.1875,2.7,0.3,0,1.64,15.131265603223945,15.438223786374428,14.641134841501424,,15.76762475068065,,15.422352987268296,15.043190661450348,14.540728643216081,,14.67173619197974,100.0,30.0,19.9,1.07,0.805,17.1
0.05,0.8,0.15,2.52,0.48,1,,15.131265603223945,15.159048660965988,,,14.435800289598644,,15.422352987268296,,,,,,,18.503,1.1,0.739,15.054
0.05,0.38,0.57,2.8,0.2,1,1.63,13.748588709770196,15.159048660965988,14.408028746648979,,14.1593445469328,,13.56754203087829,15.043190661450348,14.540728643216081,,14.00101851851855,100.0,30.0,23.4,1.008,0.7214,17.02
0.15,0.6375,0.2125,2.7,0.3,0,1.63,15.131265603223945,15.438223786374428,14.641134841501424,,15.76762475068065,,15.422352987268296,15.043190661450348,14.540728643216081,,14.67173619197974,100.0,30.0,21.2,1.06,0.722,16.2
0.05,0.7885,0.1615,2.46,0.54,1,1.63,,,,,,,,,,,,,,21.6,1.1,0.779,18.4
0.05,0.8,0.15,2.55,0.45,1,1.63,,,,,,,,,,,,,,22.8,1.24,0.78,22.1
0.05,0.7885,0.1615,2.49,0.51,1,1.62,15.131265603223945,15.569879212259472,,,15.76762475068065,0.017,15.271361592621036,15.043190661450348,14.540728643216081,14.750481365355192,14.994676372149105,100.0,40.0,20.33,1.01,0.8073,16.5
0.13,0.77,0.0,2.46,0.54,1,1.62,,,,,,,,,,,,,,22.3,1.25,0.8,22.3
0.0,0.4,0.6,2.8,0.2,1,1.617,13.748588709770196,15.159048660965988,14.408028746648979,,14.1593445469328,,13.56754203087829,15.043190661450348,14.540728643216081,,14.00101851851855,100.0,30.0,22.31,0.953,0.7,14.88
0.05,0.7885,0.1615,2.49,0.51,1,1.6,13.748588709770196,15.159048660965988,,0.04,15.155118720624117,0.1,15.155118720624117,15.043190661450348,14.540728643216081,14.234280155654995,14.994676372149105,100.0,60.0,22.68,1.14,0.76,19.61
0.05,0.79,0.15,2.45,0.55,1,1.6,15.131265603223945,15.569879212259472,,20.0,14.50981884057955,200.0,14.127791666767372,,,,,,,22.297,1.0755,0.7475,17.92
0.05,0.7125,0.2375,2.7,0.3,0,1.6,15.131265603223945,15.438223786374428,14.641134841501424,,15.76762475068065,,15.422352987268296,15.043190661450348,14.540728643216081,,14.67173619197974,100.0,30.0,20.8,1.08,0.767,17.3
0.0,0.0,1.0,3.0,0.0,1,1.6,,,,,,,,,,,,,,20.7,1.26,0.8,20.7
0.05,0.8,0.15,2.7,0.3,1,1.59,15.131265603223945,15.28688956584411,,,15.477787737044352,,15.271361592621036,15.043190661450348,14.540728643216081,14.234280155654995,15.477787737044352,115.0,20.0,23.12,1.16,0.8237,22.09
0.05,0.76,0.19,2.45,0.6,1,1.572,13.748588709770196,15.159048660965988,,,14.50981884057955,,14.127791666767372,15.043190661450348,14.540728643216081,14.234280155654995,14.00101851851855,100.0,60.0,23.29,1.156,0.765,20.6
0.175,0.75,0.075,2.64,0.36,1,1.57,13.748588709770196,13.488257532983164,13.549629738678034,,14.50981884057955,,14.127791666767372,15.043190661450348,14.540728643216081,14.234280155654995,14.00101851851855,100.0,20.0,21.88,1.124,0.75,18.45
0.05,0.81,0.14,2.55,0.45,1,1.57,,,,,,,,,,,,,,22.16,1.23,0.78,21.1
0.05,0.8,0.15,2.85,0.15,1,1.5685,15.131265603223945,15.159048660965988,,,14.435800289598644,,15.422352987268296,,,,,,,18.875,1.02,0.769,14.812
